課名,教師,流水號,課號,課程識別碼,必選修,開課系所,上課時間,上課地點,加簽類別,授課語言,學分,修課人數上限,詳情頁URL
永續建築結構造型及設計演習,蔡孟廷,71044,TB10310053,TBAD51327,選修,,"二 2,3,4",T3-304,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/71044
建築研究方法,阮怡凱,71045,TB10310054,TBAD51357,選修,,"四 6,7,8",TR-412-1,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/71045
不動產經營與管理,顏世禮,71051,TB10310064,TBAD53167,選修,,"二 A,B,C",TR-310-1,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/71051
物業管理專業與實務,杜功仁,71053,TB10310067,TBAD55207,選修,,"三 6,7,8",T4-301,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/71053
管理會計,郭啟賢,71565,TB10310095,TBBA23003,選修,,"二 2,3,4",MA-206,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/71565
談判學,許重博,71075,TB10310099,TBBA29117,選修,,"四 A,B,C",TR-212,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/71075
電影與管理,陳崇文,71515,TB10310109,TBBA41047,選修,,"一 5,6,7",TR-212,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/71515
生物統計學,林上智,71093,TB10310151,TBBE50397,選修,,"二 5,6,7",TR-610,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/71093
應用色彩科學,胡國瑞,71104,TB10310276,TBCI53307,選修,,"一 6,7,8",IB-511-2,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/71104
風險管理,呂守陞,71552,TB10310369,TBCT53047,選修,,"一 2,3,4",IB-609,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/71552
計算機概論,馬奕葳,71598,TB10310469,TBEE34017,選修,,"一 9 / 四 10,9",,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/71598
電力電子建模與分析,劉益華,71548,TB10310508,TBEE52267,選修,,"四 2,3,4",T2-510,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/71548
醫用超音波影像,沈哲州,71143,TB10310519,TBEE57907,選修,,"四 2,3,4",IB-601-2,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/71143
電化學交流阻抗頻譜分析與應用,王復民,71146,TB10310539,TBEN54207,選修,,"五 10,8,9",TR-511,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/71146
工程近代物理,李仰淳,71153,TB10310582,TBET30057,選修,,"二 1 / 五 1,2",,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/71153
線性系統,鄭瑞光,71439,TB10310584,TBET31053,選修,,"一 7,8 / 三 3",,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/71439
固態照明實習,蘇忠傑,71158,TB10310608,TBET48073,選修,,"五 6,7,8",EE-812,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/71158
編碼理論,賴坤財,71159,TB10310610,TBET50027,選修,,"三 6,7,8",IB-510-1,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/71159
超大型積體電路設計,林銘波,71461,TB10310619,TBET53027,選修,,"四 2,3,4",IB-401,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/71461
新聞英文,徐碧霞,71487,TB10310688,TBFL20117,選修,,"四 2,3,4",T4-404,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/71487
國際現勢,鄭大誠,71194,TB10310746,TBGE34073,選修,,"二 8,9",TR-509,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/71194
性別與法律,張宏誠,71195,TB10310748,TBGE36043,選修,,"五 6,7",TR-413-2,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/71195
智慧財產權法概要,鍾鳳玲,71196,TB10310749,TBGE36053,選修,,"五 6,7",TR-510,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/71196
藝術賞析,盧廷清,71219,TB10310762,TBGE39003,選修,,"五 8,9",TR-209,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/71219
藝術賞析,鄭治桂,71220,TB10310762,TBGE39003,選修,,"四 3,4",TR-209,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/71220
法律與生活,陳星宏,71222,TB10310764,TBGE39043,選修,,"二 3,4",TR-616,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/71222
管理概論,賴明政,71223,TB10310765,TBGE39073,選修,,"四 1,2",TR-213,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/71223
管理概論,賴明政,71224,TB10310765,TBGE39073,選修,,"四 3,4",TR-213,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/71224
人因工程學,許聿靈,71245,TB10310816,TBIM46063,選修,,"三 6,7",MA-101,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/71245
人因工程學,林承哲,71246,TB10310816,TBIM46063,選修,,"二 6,7",MA-417,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/71246
