課名,教師,流水號,課號,課程識別碼,必選修,開課系所,上課時間,上課地點,加簽類別,授課語言,學分,修課人數上限,課程概述,課程目標,課程要求,評量方式,備註,預期學習時數,詳情頁URL
專題研究二,陳宜龍,58724,AC7003,623 M1020,必修,農業化學研究所,,,1 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",博士班請修另一課號,,https://course.ntu.edu.tw/courses/114-2/58724
環境有機化學二,施養信,39200,AC7031,623 M2930,選修,農業化學研究所,,,1 類,中文授課,2,20,課程內容包括介紹環境有機化合物之基本特性，環境有機化合物之物理化學性質，環境有機化合物之熱力學與動力學，環境中各相間之轉換與分佈，與其理論計算與推導，環境有機化合物在環境中之反應等。,讓學生瞭解控制環境有機化合物之傳輸與轉變的過程，尤其是有機化合物在不同相間的分布與反應。預期學生在修習此課程後，能利用有機物的物理化學性質，對有機物在環境中的過程與反應做簡單的模式計算。,有機化學,"30%	

期中考 


40%	

期末考 


10%	

到課率、上課態度


20%	

作業

本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/39200
農業化學儀器分析二,洪傳揚,55633,AC7033,623 M1620,必修,農業化學研究所,,,1 類,中文授課,1,50,"1.賴喜美：澱粉糊液黏度性質及膠體強度測定(Determinations of starch paste and gel properties)
2.蘇南維：食用油脂氧化安定性分析實習 (Rancimat Test)
3.徐駿森：重組DNA與蛋白質生產(Recombinant DNA and protein production)
4.林乃君：以 16S rDNA 定序鑑定細菌 (Bacterial identification using 16S rDNA sequencing)
5.陳佩貞：水生生物急毒性檢測：廣鹽性青?魚靜水式法（Acute toxicity test with medaka fish）
6.羅凱尹：超高速離心機的原理及應用 (The principles and applications of ultracentrifugation)
7.盧毅：鐵的組織化學檢測用於次細胞定位分析(Histochemical detection of iron for subcellular localization analysis)",The main scope of this laboratory course is to improve students ability about Agricultural Chemistry techniques.,本實驗課為本系碩士生必修課程，需從中任選兩項，經任課教師同意選修後，填於選項單(上系網下載或於NTU COOL下載或向系辦領取)，務必於開學後一星期內交回系辦公室彙整。,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",課程項目公佈於課程網，請務必於開學第一週前系網頁下載選項單填寫後送系辦與賴喜美、蘇南維、林乃君、徐駿森、陳佩貞、施養信、羅凱尹、盧  毅合授,,https://course.ntu.edu.tw/courses/114-2/55633
農業化學儀器分析三,洪傳揚,34911,AC7034,623 M1630,選修,農業化學研究所,,,1 類,中文授課,1,30,"1.賴喜美：式差掃描熱分析儀原理、測定與應用(Principle, determination, and applications of differencial scanning calorimetry, DSC)
2.蘇南維：層析技術之原理與應用
3.徐駿森：蛋白質電泳與分析 (protein electrophoresis and analysis)
4.陳佩貞：以雷射粒徑分析儀量測顆粒粒徑分布與相關應用 (Dynamic light scattering for measuring particle size distribution and related application)
5.羅凱尹：細胞培養 (Cell cultures)
6.盧毅：植物小器官嫁接研究化合物的長距離運輸Plants micrografting to study long distance transport of compounds",The main scope of this laboratory course is to improve students ability about Agricultural Chemistry techniques.,本課程需從中任選2項主題修習(不得與農業化學儀器分析二相同)，經任課教師同意選修後，填於選項單(上系網下載或向系辦領取或於NTU COOL公告區下載)，並於開學後一星期內交回系辦公室彙整。,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",須與農業化學儀器分析二選擇不同課程項目，請務必於開學第一週前由系網頁下載選項單填寫後送系辦與賴喜美、蘇南維、徐駿森、陳佩貞、羅凱尹、盧  毅合授,,https://course.ntu.edu.tw/courses/114-2/34911
碩士論文,,36066,AC7999,623 M0010,必修,農業化學研究所,,,1 類,中文授課,0,40,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",限碩士班。最後一學期或未修其他課程時必選,,https://course.ntu.edu.tw/courses/114-2/36066
專題討論,施養信,25470,AC8001,623 D0030,必修,農業化學研究所,,,1 類,中文授課,1,40,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",必修四學期。農化二B10教室。與洪傳揚、陳佩貞、王尚禮、盧  毅合授,,https://course.ntu.edu.tw/courses/114-2/25470
專題討論,羅凱尹,20763,AC8001,623 D0030,必修,農業化學研究所,,,1 類,中文授課,1,15,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",必修四學期。農化舊館第五教室。與吳蕙芬、賴喜美、蘇南維、林乃君、徐駿森、陳宜龍、黃玉萍合授,,https://course.ntu.edu.tw/courses/114-2/20763
專題研究二,王尚禮,44486,AC8003,623 D1020,必修,農業化學研究所,,,1 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/44486
專題研究二,許正一,53712,AC8003,623 D1020,必修,農業化學研究所,,,1 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/53712
專題研究二,林乃君,39791,AC8003,623 D1020,必修,農業化學研究所,,,1 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/39791
專題研究二,羅凱尹,57292,AC8003,623 D1020,必修,農業化學研究所,,,1 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/57292
專題研究二,陳宜龍,37409,AC8003,623 D1020,必修,農業化學研究所,,,1 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/37409
專題研究四,許正一,33670,AC8005,623 D1040,必修,農業化學研究所,,,1 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/33670
專題研究四,洪傳揚,30362,AC8005,623 D1040,必修,農業化學研究所,,,1 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/30362
專題研究四,林乃君,21375,AC8005,623 D1040,必修,農業化學研究所,,,1 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/21375
專題研究四,羅凱尹,53983,AC8005,623 D1040,必修,農業化學研究所,,,1 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/53983
專題研究四,盧  毅,23323,AC8005,623 D1040,必修,農業化學研究所,,,1 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/23323
農業化學儀器分析二,洪傳揚,40289,AC8027,623 D1620,選修,農業化學研究所,,,1 類,中文授課,1,50,"1.賴喜美：澱粉糊液黏度性質及膠體強度測定(Determinations of starch paste and gel properties) 
2.蘇南維：食用油脂氧化安定性分析實習 (Rancimat Test) 
3.徐駿森：重組DNA與蛋白質生產(Recombinant DNA and protein production)
4.林乃君：以 16S rDNA 定序鑑定細菌 (Bacterial identification using 16S rDNA sequencing)
5.陳佩貞：水生生物急毒性檢測：廣鹽性青鱂魚靜水式法（Acute toxicity test with medaka fish）
6.羅凱尹：超高速離心機的原理及應用 (The principles and applications of ultracentrifugation)
7.盧毅：鐵的組織化學檢測用於次細胞定位分析(Histochemical detection of iron for subcellular localization analysis)",The main scope of this laboratory course is to improve students ability about Agricultural Chemistry techniques.,應先修農業化學儀器分析一，才可以修二或三。每位修課學生需選擇2項主題修習，經任課教師同意選修後，填於選項單(上系網下載或向系辦領取或於NTU COOL公告區下載)，並於開學後一星期內交回系辦公室彙整。,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",課程項目公佈於課程網，請務必於開學第一週前系網頁下載選項單填寫後送系辦與賴喜美、蘇南維、林乃君、徐駿森、陳佩貞、施養信、羅凱尹、盧  毅合授,,https://course.ntu.edu.tw/courses/114-2/40289
